Temperature I,Temperature II,Ore Parameter I,Ore Parameter II,Ore Parameter III,Ore Parameter IV,Indicators A,Indicators B,Indicators C,Indicators D
1173.63,813.98,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1174.65,814.41,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.79,813.81,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.14,813.75,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.58,813.94,49.24,90.38,46.13,28.16,78.26,25.53,12.24,14.14
1173.71,814.31,49.24,90.38,46.13,28.16,78.26,25.53,12.24,14.15
1173.71,813.75,49.24,90.38,46.13,28.16,78.26,25.53,12.24,14.15
1172,813.39,49.24,90.38,46.13,28.16,78.26,25.53,12.24,14.15
1172.96,813.84,49.24,90.38,46.13,28.16,78.25,25.52,12.24,14.15
1172.96,813.62,49.24,90.38,46.13,28.16,78.25,25.52,12.24,14.15
1172.96,813.55,49.24,90.38,46.13,28.16,78.25,25.52,12.24,14.16
1172.88,813.7,49.24,90.38,46.13,28.16,78.25,25.51,12.24,14.16
1172.92,813.23,49.24,90.38,46.13,28.16,78.25,25.51,12.24,14.16
1172.57,813.37,49.24,90.38,46.13,28.16,78.25,25.5,12.24,14.16
1174.12,814.71,49.24,90.38,46.13,28.16,78.24,25.5,12.24,14.17
1172.7,812.95,49.24,90.38,46.13,28.16,78.24,25.49,12.24,14.17
1173.14,814.32,49.24,90.38,46.13,28.16,78.24,25.49,12.24,14.18
1172.26,813.03,49.24,90.38,46.13,28.16,78.24,25.48,12.24,14.18
1172.57,813.6,49.24,90.38,46.13,28.16,78.24,25.48,12.24,14.18
1172.61,813.72,49.24,90.38,46.13,28.16,78.23,25.47,12.24,14.19
1173.06,813.55,49.24,90.38,46.13,28.16,78.23,25.46,12.24,14.19
1173.15,813.6,49.24,90.38,46.13,28.16,78.23,25.46,12.24,14.19
1172.74,813.62,49.24,90.38,46.13,28.16,78.23,25.45,12.24,14.2
1172.74,814.23,49.24,90.38,46.13,28.16,78.22,25.44,12.24,14.2
1172.43,813.56,49.24,90.38,46.13,28.16,78.22,25.44,12.24,14.21
1172.65,813.17,49.24,90.38,46.13,28.16,78.22,25.43,12.24,14.21
1171.95,812.73,49.24,90.38,46.13,28.16,78.22,25.43,12.24,14.22
1173.89,813.83,49.24,90.38,46.13,28.16,78.21,25.42,12.24,14.22
1173.05,814.28,49.24,90.38,46.13,28.16,78.21,25.41,12.24,14.23
1173.67,813.81,49.24,90.38,46.13,28.16,78.21,25.41,12.24,14.23
1172.65,813.46,49.24,90.38,46.13,28.16,78.21,25.4,12.24,14.23
1173.63,813.89,49.24,90.38,46.13,28.16,78.21,25.39,12.24,14.24
1173.54,813.36,49.24,90.38,46.13,28.16,78.2,25.38,12.24,14.24
1172.44,813.57,49.24,90.38,46.13,28.16,78.2,25.38,12.24,14.25
1173.06,813.54,49.24,90.38,46.13,28.16,78.2,25.37,12.24,14.25
1172.13,813.82,49.24,90.38,46.13,28.16,78.2,25.37,12.24,14.26
1172.7,813.63,49.24,90.38,46.13,28.16,78.19,25.36,12.24,14.26
1172.7,813.83,49.24,90.38,46.13,28.16,78.19,25.35,12.24,14.27
1173.32,813.46,49.24,90.38,46.13,28.16,78.19,25.35,12.24,14.27
1172.26,813.37,49.24,90.38,46.13,28.16,78.19,25.34,12.24,14.27
1172.74,813.38,49.24,90.38,46.13,28.16,78.18,25.33,12.24,14.28
1172.83,813.54,49.24,90.38,46.13,28.16,78.18,25.33,12.24,14.28
1172.57,813.97,49.24,90.38,46.13,28.16,78.18,25.32,12.24,14.28
1173.06,813.45,49.24,90.38,46.13,28.16,78.18,25.32,12.24,14.29
1172.65,813.63,49.24,90.38,46.13,28.16,78.18,25.31,12.24,14.29
1172.92,813.61,49.24,90.38,46.13,28.16,78.17,25.31,12.24,14.3
1172.43,813.44,49.24,90.38,46.13,28.16,78.17,25.3,12.24,14.3
1172.39,813.21,49.24,90.38,46.13,28.16,78.17,25.3,12.24,14.3
1172.87,813.53,49.24,90.38,46.13,28.16,78.17,25.29,12.24,14.3
1173.14,813.78,49.24,90.38,46.13,28.16,78.17,25.29,12.24,14.31
1172.39,813.67,49.24,90.38,46.13,28.16,78.17,25.29,12.24,14.31
1172.39,813.39,49.24,90.38,46.13,28.16,78.16,25.28,12.24,14.31
1172.26,813.46,49.24,90.38,46.13,28.16,78.16,25.28,12.24,14.31
1172.62,813.74,49.24,90.38,46.13,28.16,78.16,25.28,12.24,14.31
1007.73,789.83,49.24,90.38,46.13,28.16,78.16,25.28,12.24,14.32
854.9,767.8,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
854.81,767.41,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
855.34,767.7,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
854.99,767.81,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
854.55,767.64,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
854.94,767.31,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
854.9,767.92,49.24,90.38,46.13,28.16,78.16,25.27,12.24,14.32
855.52,768.02,49.24,90.38,46.13,28.16,78.16,25.28,12.25,14.32
854.9,767.68,49.24,90.38,46.13,28.16,78.16,25.28,12.25,14.32
854.99,767.93,49.24,90.38,46.13,28.16,78.16,25.29,12.25,14.33
855.25,767.8,49.24,90.38,46.13,28.16,78.16,25.3,12.26,14.33
854.77,767.95,49.24,90.38,46.13,28.16,78.16,25.31,12.27,14.33
854.02,767.82,49.24,90.38,46.13,28.16,78.16,25.32,12.27,14.33
855.16,767.55,49.24,90.38,46.13,28.16,78.16,25.33,12.28,14.34
854.67,767.73,49.24,90.38,46.13,28.16,78.16,25.34,12.29,14.34
855.12,767.72,49.24,90.38,46.13,28.16,78.16,25.35,12.3,14.34
854.45,767.54,49.24,90.38,46.13,28.16,78.16,25.37,12.31,14.35
855.43,768,49.24,90.38,46.13,28.16,78.16,25.38,12.32,14.35
855.34,767.81,49.24,90.38,46.13,28.16,78.16,25.4,12.34,14.36
855.25,768.05,49.24,90.38,46.13,28.16,78.16,25.42,12.35,14.36
854.72,767.48,49.24,90.38,46.13,28.16,78.16,25.43,12.36,14.37
854.1,767.35,49.24,90.38,46.13,28.16,78.16,25.45,12.37,14.37
854.9,767.67,49.24,90.38,46.13,28.16,78.16,25.47,12.39,14.38
855.35,767.84,49.24,90.38,46.13,28.16,78.16,25.49,12.4,14.38
855.35,768.19,49.24,90.38,46.13,28.16,78.16,25.51,12.42,14.39
854.5,767.7,49.24,90.38,46.13,28.16,78.16,25.53,12.43,14.4
854.41,767.4,49.24,90.38,46.13,28.16,78.16,25.56,12.45,14.4
854.41,767.65,49.24,90.38,46.13,28.16,78.16,25.58,12.47,14.41
854.33,767.31,49.24,90.38,46.13,28.16,78.16,25.6,12.48,14.42
854.77,767.6,49.24,90.38,46.13,28.16,78.16,25.62,12.5,14.42
854.55,767.79,49.24,90.38,46.13,28.16,78.16,25.65,12.52,14.43
854.77,767.5,49.24,90.38,46.13,28.16,78.16,25.67,12.53,14.43
854.9,767.39,49.24,90.38,46.13,28.16,78.16,25.69,12.55,14.44
854.68,767.38,49.24,90.38,46.13,28.16,78.16,25.72,12.57,14.45
854.29,767.54,49.24,90.38,46.13,28.16,78.16,25.74,12.59,14.46
855.52,768.86,49.24,90.38,46.13,28.16,78.15,25.76,12.6,14.46
854.95,767.39,49.24,90.38,46.13,28.16,78.15,25.79,12.62,14.47
855.3,768.66,49.24,90.38,46.13,28.16,78.15,25.81,12.64,14.48
854.64,767.53,49.24,90.38,46.13,28.16,78.15,25.83,12.65,14.48
855.12,767.54,49.24,90.38,46.13,28.16,78.15,25.86,12.67,14.49
855.12,768.01,49.24,90.38,46.13,28.16,78.15,25.88,12.69,14.49
854.77,767.73,49.24,90.38,46.13,28.16,78.15,25.9,12.7,14.5
854.77,767.62,49.24,90.38,46.13,28.16,78.15,25.92,12.72,14.51
854.77,767.67,49.24,90.38,46.13,28.16,78.15,25.95,12.74,14.51
854.5,767.92,49.24,90.38,46.13,28.16,78.15,25.97,12.75,14.52
854.5,767.53,49.24,90.38,46.13,28.16,78.15,25.99,12.77,14.53
855.47,767.96,49.24,90.38,46.13,28.16,78.15,26.01,12.78,14.53
854.77,767.75,49.24,90.38,46.13,28.16,78.15,26.03,12.8,14.54
855.65,768,49.24,90.38,46.13,28.16,78.15,26.05,12.81,14.54
855.25,767.8,49.24,90.38,46.13,28.16,78.15,26.06,12.82,14.55
854.9,767.74,49.24,90.38,46.13,28.16,78.15,26.08,12.83,14.55
855.25,767.73,49.24,90.38,46.13,28.16,78.15,26.1,12.85,14.56
854.77,767.75,49.24,90.38,46.13,28.16,78.15,26.11,12.86,14.56
854.19,767.84,49.24,90.38,46.13,28.16,78.15,26.13,12.87,14.57
854.9,767.64,49.24,90.38,46.13,28.16,78.15,26.14,12.88,14.57
854.9,767.64,49.24,90.38,46.13,28.16,78.15,26.15,12.89,14.57
855.3,767.71,49.24,90.38,46.13,28.16,78.15,26.16,12.9,14.58
854.77,767.83,49.24,90.38,46.13,28.16,78.15,26.17,12.9,14.58
855.35,768.19,49.24,90.38,46.13,28.16,78.15,26.18,12.91,14.58
854.41,767.85,49.24,90.38,46.13,28.16,78.15,26.19,12.92,14.58
855.43,767.61,49.24,90.38,46.13,28.16,78.15,26.2,12.92,14.59
854.85,767.85,49.24,90.38,46.13,28.16,78.15,26.2,12.92,14.59
855.03,767.71,49.24,90.38,46.13,28.16,78.15,26.21,12.93,14.59
854.81,767.79,49.24,90.38,46.13,28.16,78.15,26.21,12.93,14.59
855.34,767.99,49.24,90.38,46.13,28.16,78.15,26.21,12.93,14.59
855.21,767.98,49.24,90.38,46.13,28.16,78.15,26.21,12.93,14.59
855.21,767.86,49.24,90.38,46.13,28.16,78.15,26.21,12.93,14.59
855.61,768.08,49.24,90.38,46.13,28.16,78.15,26.2,12.93,14.59
855.17,767.41,49.24,90.38,46.13,28.16,78.15,26.2,12.93,14.59
855.12,767.32,49.24,90.38,46.13,28.16,78.15,26.19,12.93,14.58
854.32,767.48,49.24,90.38,46.13,28.16,78.16,26.18,12.93,14.58
854.64,767.36,49.24,90.38,46.13,28.16,78.16,26.17,12.93,14.58
855.16,768.39,49.24,90.38,46.13,28.16,78.16,26.16,12.93,14.57
855.21,767.49,49.24,90.38,46.13,28.16,78.16,26.15,12.93,14.57
855.21,767.56,49.24,90.38,46.13,28.16,78.17,26.14,12.93,14.57
855.25,767.58,49.24,90.38,46.13,28.16,78.17,26.12,12.93,14.56
854.5,767.74,49.24,90.38,46.13,28.16,78.17,26.11,12.93,14.56
854.72,767.65,49.24,90.38,46.13,28.16,78.18,26.09,12.93,14.55
855.21,767.69,49.24,90.38,46.13,28.16,78.18,26.07,12.93,14.55
854.59,767.77,49.24,90.38,46.13,28.16,78.19,26.06,12.93,14.54
854.77,767.62,49.24,90.38,46.13,28.16,78.19,26.04,12.93,14.54
855.25,767.84,49.24,90.38,46.13,28.16,78.2,26.02,12.93,14.53
855.25,767.88,49.24,90.38,46.13,28.16,78.2,26,12.93,14.52
855.3,768.01,49.24,90.38,46.13,28.16,78.21,25.98,12.93,14.52
855.47,768.75,49.24,90.38,46.13,28.16,78.21,25.95,12.93,14.51
854.5,767.83,49.24,90.38,46.13,28.16,78.22,25.93,12.93,14.5
854.33,768.39,49.24,90.38,46.13,28.16,78.22,25.91,12.93,14.5
854.59,767.46,49.24,90.38,46.13,28.16,78.23,25.89,12.93,14.49
854.45,767.4,49.24,90.38,46.13,28.16,78.23,25.86,12.93,14.48
853.54,767.24,49.24,90.38,46.13,28.16,78.24,25.84,12.93,14.47
854.9,767.75,49.24,90.38,46.13,28.16,78.25,25.81,12.93,14.47
855.34,768.14,49.24,90.38,46.13,28.16,78.25,25.79,12.93,14.46
854.59,767.57,49.24,90.38,46.13,28.16,78.26,25.76,12.93,14.45
854.81,767.8,49.24,90.38,46.13,28.16,78.26,25.74,12.93,14.44
854.81,767.83,49.24,90.38,46.13,28.16,78.27,25.72,12.93,14.44
854.32,767.29,49.24,90.38,46.13,28.16,78.28,25.69,12.93,14.43
855.2,767.75,49.24,90.38,46.13,28.16,78.28,25.67,12.93,14.42
855.2,767.75,49.24,90.38,46.13,28.16,78.29,25.64,12.93,14.41
854.67,767.6,49.24,90.38,46.13,28.16,78.29,25.62,12.93,14.4
854.55,767.58,49.24,90.38,46.13,28.16,78.3,25.59,12.93,14.4
855.3,767.75,49.24,90.38,46.13,28.16,78.31,25.57,12.93,14.39
854.94,767.78,49.24,90.38,46.13,28.16,78.31,25.54,12.93,14.38
855.87,768.33,49.24,90.38,46.13,28.16,78.32,25.52,12.93,14.37
853.97,767.27,49.24,90.38,46.13,28.16,78.32,25.5,12.93,14.37
855.08,768.63,49.24,90.38,46.13,28.16,78.33,25.48,12.93,14.36
854.67,767.34,49.24,90.38,46.13,28.16,78.33,25.45,12.93,14.35
854.14,767.57,49.24,90.38,46.13,28.16,78.34,25.43,12.93,14.35
854.14,767.73,49.24,90.38,46.13,28.16,78.34,25.41,12.93,14.34
855.52,767.96,49.24,90.38,46.13,28.16,78.35,25.39,12.93,14.33
855.17,767.77,49.24,90.38,46.13,28.16,78.35,25.37,12.93,14.33
854.99,767.49,49.24,90.38,46.13,28.16,78.36,25.36,12.93,14.32
854.46,767.16,49.24,90.38,46.13,28.16,78.36,25.34,12.93,14.32
854.24,767.66,49.24,90.38,46.13,28.16,78.37,25.32,12.93,14.31
855.21,767.67,49.24,90.38,46.13,28.16,78.37,25.31,12.93,14.31
855.43,768.06,49.24,90.38,46.13,28.16,78.37,25.29,12.93,14.3
855.43,768.67,49.24,90.38,46.13,28.16,78.38,25.28,12.93,14.3
854.24,767.73,49.24,90.38,46.13,28.16,78.38,25.27,12.93,14.3
855.61,768.67,49.24,90.38,46.13,28.16,78.38,25.26,12.93,14.29
854.99,767.94,49.24,90.38,46.13,28.16,78.38,25.25,12.93,14.29
855.25,767.93,49.24,90.38,46.13,28.16,78.39,25.24,12.93,14.29
854.68,767.54,49.24,90.38,46.13,28.16,78.39,25.23,12.93,14.28
855.03,767.71,49.24,90.38,46.13,28.16,78.39,25.23,12.93,14.28
855.03,767.95,49.24,90.38,46.13,28.16,78.39,25.22,12.93,14.28
855.03,768.16,49.24,90.38,46.13,28.16,78.39,25.22,12.93,14.28
853.57,766.2,49.24,90.38,46.13,28.16,78.39,25.22,12.93,14.28
855.3,767.83,49.24,90.38,46.13,28.16,78.39,25.22,12.93,14.28
853.66,766.29,49.24,90.38,46.13,28.16,78.39,25.22,12.93,14.28
855.03,767.52,49.24,90.38,46.13,28.16,78.4,25.22,12.93,14.28
854.94,767.53,49.24,90.38,46.13,28.16,78.4,25.21,12.92,14.27
855.3,768.46,49.24,90.38,46.13,28.16,78.41,25.21,12.92,14.27
854.81,767.3,49.24,90.38,46.13,28.16,78.41,25.2,12.92,14.26
854.63,768.05,49.24,90.38,46.13,28.16,78.42,25.2,12.91,14.26
854.59,767.3,49.24,90.38,46.13,28.16,78.43,25.19,12.9,14.25
854.68,767.7,49.24,90.38,46.13,28.16,78.44,25.18,12.9,14.24
854.68,767.43,49.24,90.38,46.13,28.16,78.45,25.17,12.89,14.24
855.03,767.72,49.24,90.38,46.13,28.16,78.46,25.17,12.88,14.23
855.03,767.73,49.24,90.38,46.13,28.16,78.48,25.16,12.88,14.22
854.19,767.3,49.24,90.38,46.13,28.16,78.49,25.15,12.87,14.21
854.77,767.89,49.24,90.38,46.13,28.16,78.5,25.13,12.86,14.2
855.13,767.74,49.24,90.38,46.13,28.16,78.52,25.12,12.85,14.19
854.32,767.93,49.24,90.38,46.13,28.16,78.54,25.11,12.84,14.18
854.32,767.63,49.24,90.38,46.13,28.16,78.55,25.1,12.83,14.17
854.67,767.99,49.24,90.38,46.13,28.16,78.57,25.09,12.82,14.15
854.67,767.54,49.24,90.38,46.13,28.16,78.59,25.07,12.81,14.14
855.52,767.9,49.24,90.38,46.13,28.16,78.61,25.06,12.8,14.13
854.85,767.47,49.24,90.38,46.13,28.16,78.62,25.05,12.78,14.12
854.99,767.7,49.24,90.38,46.13,28.16,78.64,25.03,12.77,14.1
854.72,767.81,49.24,90.38,46.13,28.16,78.66,25.02,12.76,14.09
855.21,767.76,49.24,90.38,46.13,28.16,78.68,25,12.75,14.08
854.94,767.67,49.24,90.38,46.13,28.16,78.7,24.99,12.73,14.06
855.47,768.62,49.24,90.38,46.13,28.16,78.72,24.97,12.72,14.05
855.69,767.94,49.24,90.38,46.13,28.16,78.74,24.96,12.71,14.03
854.94,768.17,49.24,90.38,46.13,28.16,78.76,24.94,12.7,14.02
854.37,766.86,49.24,90.38,46.13,28.16,78.78,24.93,12.68,14
855.25,767.88,49.24,90.38,46.13,28.16,78.81,24.91,12.67,13.99
855.61,768.57,49.24,90.38,46.13,28.16,78.83,24.89,12.66,13.98
854.33,766.53,49.24,90.38,46.13,28.16,78.85,24.88,12.64,13.96
854.9,768.34,49.24,90.38,46.13,28.16,78.87,24.86,12.63,13.95
854.33,767.05,49.24,90.38,46.13,28.16,78.89,24.85,12.62,13.93
854.72,767.41,49.24,90.38,46.13,28.16,78.91,24.83,12.61,13.92
854.55,768.05,49.24,90.38,46.13,28.16,78.93,24.82,12.59,13.9
854.5,767.63,49.24,90.38,46.13,28.16,78.95,24.8,12.58,13.89
855.03,768.55,49.24,90.38,46.13,28.16,78.97,24.79,12.57,13.88
855.03,767.96,49.24,90.38,46.13,28.16,78.99,24.77,12.56,13.86
854.64,767.45,49.24,90.38,46.13,28.16,79,24.76,12.54,13.85
855.08,767.77,49.24,90.38,46.13,28.16,79.02,24.75,12.53,13.84
855.08,767.68,49.24,90.38,46.13,28.16,79.04,24.73,12.52,13.83
855.74,768.39,49.24,90.38,46.13,28.16,79.06,24.72,12.51,13.81
855.03,767.85,49.24,90.38,46.13,28.16,79.07,24.71,12.5,13.8
855.16,768.6,49.24,90.38,46.13,28.16,79.09,24.7,12.49,13.79
854.46,767.12,49.24,90.38,46.13,28.16,79.11,24.69,12.48,13.78
854.68,767.9,49.24,90.38,46.13,28.16,79.12,24.67,12.47,13.77
855.25,767.81,49.24,90.38,46.13,28.16,79.13,24.66,12.46,13.76
854.11,767.08,49.24,90.38,46.13,28.16,79.15,24.65,12.46,13.75
855.35,767.78,49.24,90.38,46.13,28.16,79.16,24.65,12.45,13.74
854.94,767.62,49.24,90.38,46.13,28.16,79.17,24.64,12.44,13.74
854.94,767.77,49.24,90.38,46.13,28.16,79.18,24.63,12.44,13.73
854.94,767.67,49.24,90.38,46.13,28.16,79.19,24.62,12.43,13.72
855.2,767.64,49.24,90.38,46.13,28.16,79.2,24.62,12.42,13.72
855.08,767.69,49.24,90.38,46.13,28.16,79.2,24.61,12.42,13.71
854.37,765.99,49.24,90.38,46.13,28.16,79.21,24.61,12.42,13.71
855.61,767.93,49.24,90.38,46.13,28.16,79.21,24.6,12.41,13.7
854.59,766.33,49.24,90.38,46.13,28.16,79.22,24.6,12.41,13.7
855.2,768.88,49.24,90.38,46.13,28.16,79.22,24.6,12.41,13.7
854.81,768.08,49.24,90.38,46.13,28.16,79.22,24.6,12.41,13.7
854.81,767.92,49.24,90.38,46.13,28.16,79.22,24.6,12.41,13.7
855.61,768.6,49.24,90.38,46.13,28.16,79.22,24.6,12.41,13.7
855.17,768.01,49.24,90.38,46.13,28.16,79.22,24.59,12.4,13.7
855.17,768.41,49.24,90.38,46.13,28.16,79.22,24.59,12.4,13.7
855.17,767.85,49.24,90.38,46.13,28.16,79.23,24.59,12.39,13.7
854.37,767.73,49.24,90.38,46.13,28.16,79.23,24.58,12.39,13.7
718.52,704.27,49.24,90.38,46.13,28.16,79.23,24.57,12.38,13.69
594.47,685.97,49.24,90.38,46.13,28.16,79.23,24.57,12.37,13.69
595.22,686.4,49.24,90.38,46.13,28.16,79.24,24.56,12.36,13.69
594.86,686.21,49.24,90.38,46.13,28.16,79.24,24.55,12.35,13.69
594.2,685.77,49.24,90.38,46.13,28.16,79.25,24.54,12.33,13.69
595.48,686.04,49.24,90.38,46.13,28.16,79.25,24.53,12.32,13.69
593.8,686.16,49.24,90.38,46.13,28.16,79.26,24.51,12.31,13.68
594.51,686.14,49.24,90.38,46.13,28.16,79.26,24.5,12.29,13.68
595.13,686.37,49.24,90.38,46.13,28.16,79.27,24.49,12.28,13.68
595.13,686.66,49.24,90.38,46.13,28.16,79.27,24.47,12.26,13.68
595.39,686.58,49.24,90.38,46.13,28.16,79.28,24.46,12.24,13.67
595,685.57,49.24,90.38,46.13,28.16,79.28,24.44,12.22,13.67
594.55,686.28,49.24,90.38,46.13,28.16,79.29,24.43,12.21,13.67
593.98,685.72,49.24,90.38,46.13,28.16,79.3,24.41,12.19,13.66
594.29,686.14,49.24,90.38,46.13,28.16,79.3,24.4,12.17,13.66
594.29,686.19,49.24,90.38,46.13,28.16,79.31,24.38,12.15,13.66
594.73,686.51,49.24,90.38,46.13,28.16,79.32,24.36,12.13,13.65
593.89,686.25,49.24,90.38,46.13,28.16,79.33,24.35,12.11,13.65
594.33,686.25,49.24,90.38,46.13,28.16,79.33,24.33,12.09,13.65
594.77,686.4,49.24,90.38,46.13,28.16,79.34,24.31,12.07,13.64
594.77,686.4,49.24,90.38,46.13,28.16,79.35,24.29,12.04,13.64
595.04,686.38,49.24,90.38,46.13,28.16,79.36,24.28,12.02,13.64
595.04,686.25,49.24,90.38,46.13,28.16,79.36,24.26,12,13.63
595.04,685.91,49.24,90.38,46.13,28.16,79.37,24.24,11.98,13.63
594.77,686.66,49.24,90.38,46.13,28.16,79.38,24.22,11.96,13.63
594.11,686.54,49.24,90.38,46.13,28.16,79.38,24.2,11.94,13.62
594.47,686.15,49.24,90.38,46.13,28.16,79.39,24.19,11.92,13.62
594.9,686.18,49.24,90.38,46.13,28.16,79.4,24.17,11.89,13.62
594.2,686.17,49.24,90.38,46.13,28.16,79.41,24.15,11.87,13.61
594.86,686.61,49.24,90.38,46.13,28.16,79.41,24.13,11.85,13.61
594.15,686.2,49.24,90.38,46.13,28.16,79.42,24.12,11.83,13.61
594.02,685.96,49.24,90.38,46.13,28.16,79.43,24.1,11.81,13.6
594.86,686.41,49.24,90.38,46.13,28.16,79.44,24.08,11.79,13.6
594.51,686.1,49.24,90.38,46.13,28.16,79.44,24.07,11.77,13.6
594.37,685.68,49.24,90.38,46.13,28.16,79.45,24.05,11.75,13.59
595.22,686.25,49.24,90.38,46.13,28.16,79.46,24.04,11.74,13.59
594.2,685.9,49.24,90.38,46.13,28.16,79.46,24.02,11.72,13.59
595.13,686.26,49.24,90.38,46.13,28.16,79.47,24.01,11.7,13.58
594.37,686.38,49.24,90.38,46.13,28.16,79.47,23.99,11.68,13.58
594.51,685.94,49.24,90.38,46.13,28.16,79.48,23.98,11.67,13.58
594.46,686.23,49.24,90.38,46.13,28.16,79.48,23.97,11.65,13.58
594.99,686.42,49.24,90.38,46.13,28.16,79.49,23.95,11.64,13.57
594.99,686.31,49.24,90.38,46.13,28.16,79.49,23.94,11.63,13.57
594.99,686.18,49.24,90.38,46.13,28.16,79.5,23.93,11.61,13.57
594.46,686.22,49.24,90.38,46.13,28.16,79.5,23.92,11.6,13.57
594.9,686.29,49.24,90.38,46.13,28.16,79.51,23.91,11.59,13.57
595.35,686.44,49.24,90.38,46.13,28.16,79.51,23.91,11.58,13.57
594.29,686.38,49.24,90.38,46.13,28.16,79.51,23.9,11.57,13.56
